,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
8842,Lokesh Khandelwal,Ugy-6IALPa6uJqTxvid4AaABAg,Bhai log sun lo ab koi Nokia ka phone lega﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,10,43,3.4,0,0,,,,,0,0,neutral
8843,Madhav Singh,UgzUv1bVwgJrKw5fowR4AaABAg,Oppo R17 pro is one of them﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,28,3.142857143,0,1,,,,,0,0,neutral
8844,Ayush Verma,UgzmJZ11HtA_DoRIiiB4AaABAg,The worst is this nokia add.... 😬😬😬﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,36,4.285714286,0,0,,,,😬😬😬,-1,1,negative
8845,Deepak Kumar,Ugw243aaYxrN_OEC3pJ4AaABAg,Jay hind. .﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,12,3.333333333,0,0,,,,,0,0,neutral
8846,Babadham Music World,UgyTZs62PPwofALpu614AaABAg,क्या बात है आज गुरुजी के चैनल में सिर्फ Nokia मोबाइल का add आ रहे हैं﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,16,70,3.4375,0,0,,,,,0,0,neutral
8847,Jadeja Satyarajsinh V.,Ugy5K5zJp4WVqFNV9yp4AaABAg,iPhone xs and max﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,18,3.75,0,0,,,,,0,0,neutral
8848,Sk Jundul akiq,UgybCW-b3umfyRAFgXB4AaABAg,Kya asus zenfone max pro m1 aacha hai...????﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,45,4.75,0,0,,,,,0,0,neutral
8849,Jahin Saharia,UgxwcpqZyWfra0rFHXh4AaABAg,Samsung j srise﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,16,4.666666667,0,0,,,,,0,0,neutral
8850,Tech Robber,UgwCrb_4YIgEtd5ECqt4AaABAg,"Baaki sbb toh thik hai Guruji.. prr ye Nokia ki ad ne bahut tang kiya hai.. or mere hisab se Lenovo K8 Note, Oppo F9, Nokia 7.1 bhi isi list me hai...﻿",4 months ago,worstsmartphonesof2019,zvn73D5jNHs,32,151,3.75,0,2,,,,,-0.5,0.5,negative
8851,Prince pachauri,UgwhsipdXa8j6V6PJ_Z4AaABAg,Samsung Ke 15000 se niche sabse jyada bekar phone hain﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,10,55,4.6,1,0,,,,,0,0,neutral
8852,Ashraf Khan,UgyXtiq3LSb73XczNp54AaABAg,galaxy A6+﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,2,11,5,0,1,,,,,0,0,neutral
8853,Tarun Jawla,UgwdEXQt7CDgWnzrZRN4AaABAg,nokia pagal kr dega ek din﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,27,3.666666667,0,0,,,,,0,0,neutral
8854,sunny gupta,Ugz-WfIp81vqYxdzQd14AaABAg,Let's them give a chance﻿,4 months ago (edited),worstsmartphonesof2019,zvn73D5jNHs,5,25,4.2,0,0,,,,,0,0,neutral
8855,vishal shrivas,UgzR7iw3nSO7FQSBy_V4AaABAg,"Hi, Guruji 😄😄😄😀😀😀🤗🤗﻿",4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,20,6,0,0,,,,😄😄😄😀😀😀🤗🤗,0,0,neutral
8856,Hemant Jain,Ugy_oitBZCmiPuh3nr54AaABAg,Description pe innovative phones ka😂😂😂 Copy﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,44,6.5,0,0,,,,😂😂😂,0.5,1,positive
8857,Sitanshu Khanna,UgwKf5aH-f5_HNd7z0x4AaABAg,Thanks for video Gaurav sir u r awesome.﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,41,4.25,0,0,,,,,0.2,0.2,positive
8858,aarya Satare,UgyUQpU7rcAq1Q8aNIR4AaABAg,10 million congratulations keep it up❤️﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,40,5.833333333,1,0,,,,❤,0,0,neutral
8859,Mukesh Kumar,UgxaPMWTGpU-PjTF7qx4AaABAg,Redmi note 5﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,13,3.666666667,0,0,,,,,0,0,neutral
8860,Sandeep Chouhan,UgwjC95bUsmfrX8RF6l4AaABAg,Samsung j2 ko﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,14,4,0,0,,,,,0,0,neutral
8861,Official pawar16,Ugy7y4PRZtUd4ODDrSh4AaABAg,top 5 tati phone😂😁﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,19,4,1,0,,,,😂😁,0.5,0.5,positive
8862,sunny gupta,UgxfFsixPedThhzJ8tF4AaABAg,Evenly mane aapni mom ki techno ka phone gift kiya 9000/- ki price ka i haved the option that ki 1000+ kaar ka mae redmi note 5 da sakta tha but aap try toh kaareya﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,35,165,3.742857143,1,0,,,,,0,0,neutral
8863,Xtreme Devilss,Ugxx16YylyqDlRNU9cx4AaABAg,Gaurav is the best Like if u agree﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,35,3.5,0,0,,,,,1,0.3,positive
8864,pnp punit,UgxglqgqroVqp7gBbot4AaABAg,Xiaomi poco f1 very good smartphone guruji﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,43,5.285714286,0,0,,,,,0.91,0.78,positive
8865,Football Hindi,Ugze65wzOAnWs6smv4N4AaABAg,comment ke chakar me like karna hi bhul gaya﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,9,45,4.111111111,0,0,,,,,0,0,neutral
8866,vivek shiromani,Ugw5qo0BV54z9qVhCwl4AaABAg,happy new year guruji﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,22,4.75,0,0,,,,,0.4681818182,0.7272727273,positive
8867,X Generation Gamer,UgwxVMzmQH8LAAZhCKB4AaABAg,Mi a2 lite is best phone﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,25,3.333333333,0,0,,,,,1,0.3,positive
8868,ENGLISH WITH VIVEK SINGH,UgyE9dF8H0BKxDUxZBt4AaABAg,Lava lemon sounds like loda lehsun......😂😂😂😂😂😂😂﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,48,7.166666667,0,0,,,,😂😂😂😂😂😂😂,0,0,neutral
8869,Rahul Ramrao Joshi,UgxWNXqyApGDRNeDT4x4AaABAg,टेढे मेढे Brand 😁😁😀😂﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,21,4.5,0,0,,,,😁😁😀😂,0,0,neutral
8870,all in one ashish channel youtube,Ugy1-y7bYBXqlQWL1xt4AaABAg,Swipe elite👎﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,2,13,6,0,0,,,,👎,0,0,neutral
8871,Vaishali Pal,UgxEmYHBKiUMvKgFnCF4AaABAg,Lava lemon carbon 😂😂😂😂😂😂﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,25,5.5,0,0,,,,😂😂😂😂😂😂,0,0,neutral
8872,Reactive Boy,UgyVv6nNFjRvyrJKlSV4AaABAg,Guruji I am not against you but poco bhi itna kuch acha nahi hai PUBG jesa to dual finger game me ye phone based apka target auto move ho jata tha aur Netflix me full hd nahi tha aur screen issues the plus many more flaw was there﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,48,231,3.833333333,0,2,,,,,0.2375,0.4875,positive
