,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
25542,Uthej Chowdary,UgxVfvcAoampKJi_AVR4AaABAg,Sub my channel See my video Like my video I will do the same to u,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,16,65,3.125,0,1,,,,,0.0,0.125,neutral
25544,AsiaSlays,UgyP8ZNuenjbUNvffUt4AaABAg,"Let's grow together! 😍 1. Sub 💙 turn on that bell 2. Like 👍 3. Comment ""done"" 💋 4. Then i'll do the same 😊 THANKYOU 😘",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,27,117,3.3703703703703702,0,1,,,,😍💙👍💋😊😘,0.0,0.125,neutral
25547,Dj Rock,UgwUBjM5Q4m5XUi5YAV4AaABAg,Chanel ka name me bhi koi fark padta hai kya Bhai plz replay,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,60,3.6923076923076925,0,0,,,,,0.0,0.0,neutral
25554,AR TV,UgxX6Psa2MT5zHc8ACN4AaABAg,Let Support Each Other 1. SUB to my channel 2. Reply done 3. I will Sub Our channel Lets Go,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,20,91,3.6,0,2,,,,,-0.125,0.375,negative
25555,Qnxrio,Ugxk-wWYbs6YVI4Flhx4AaABAg,SUB TO ME THEN ILL SUB BACK ASAP 🔥🔥🔥🔥 HAVE A GREAT DAY PPL,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,14,58,3.2142857142857144,0,13,,,,🔥🔥🔥🔥,0.10000000000000002,0.5833333333333334,positive
25557,Ashlal Waiba,Ugw77rFjyjyqyWReYaB4AaABAg,hello vaijan im new in yoytube channel do you help me,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,53,3.909090909090909,0,0,,,,,0.13636363636363635,0.45454545454545453,positive
25559,complicated Khattak,UgylkTN-8HreC3Jn2bl4AaABAg,Let's grow together.... Sub to my channel and reply here I will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,75,4.066666666666666,0,1,,,,,0.0,0.125,neutral
25563,GAME ENGINE,UgwHnYT3gtvJHtqCzSV4AaABAg,If enyone sub me i will sub back within 1 say fod promise,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,57,3.4615384615384617,1,0,,,,,0.0,0.0,neutral
25569,Exact Therapy !nstractor,UgyNY2hq2ZUJhAMppFd4AaABAg,"1 7 8 6 11 122 1233 1121 3141 51617 1819 001 0000001 0972 289 81789 08641 754781 12789 22222 6666 1 it not a trick, just time pass for get ????",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,32,143,3.5,22,0,,,,,0.0,0.0,neutral
25570,Abeeha,UgzCKURjxGyEoI0Pyl54AaABAg,hello guys sub to me comment like and ill do the same god bless iam a starter so i dont really know how to get sub,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,26,114,3.423076923076923,0,0,,,,,-0.09999999999999999,0.44166666666666665,negative
